km,left_lane,right_lane
1,6,3
2,1,16
3,19,11
4,13,17
5,9,3
6,17,14
7,5,20
8,12,1
9,19,6
10,8,0
11,10,4
12,6,19
13,18,1
14,18,12
15,14,0
16,18,16
17,14,7
18,18,20
19,1,6
20,20,1
21,16,19
22,6,1
23,7,18
24,15,0
25,8,1
26,6,8
27,14,13
28,13,18
29,4,3
30,0,17
31,9,5
32,11,7
33,2,13
34,7,16
35,4,3
36,11,17
37,3,9
38,9,3
39,2,19
40,2,16
41,18,3
42,13,2
43,8,14
44,15,4
45,10,14
46,1,15
47,12,0
48,4,0
49,20,14
50,14,6
51,4,2
52,16,13
53,20,8
54,11,20
55,10,13
56,8,9
57,17,8
58,4,6
59,0,7
60,1,11
61,5,2
62,10,12
63,12,18
64,8,16
65,17,7
66,17,0
67,19,12
68,0,17
69,6,3
70,1,10
71,2,12
72,3,7
73,15,13
74,10,6
75,18,12
76,4,6
77,12,0
78,10,12
79,9,7
80,12,14
81,3,18
82,13,9
83,7,6
84,3,5
85,3,9
86,18,20
87,12,15
88,0,17
89,2,5
90,13,1
91,1,7
92,8,8
93,2,14
94,14,5
95,16,4
96,19,0
97,10,5
98,15,16
99,20,18
100,16,9
101,16,6
102,1,10
103,20,16
104,10,20
105,12,16
106,17,7
107,15,5
108,4,16
109,7,20
